"SAN FRANCISCO – It has never been easy to have a rational conversation about the value of gold.","SAN FRANCISCO – Es war noch nie leicht, ein rationales Gespräch über den Wert von Gold zu führen."
"But they should pursue smart consolidation rather than unthinking austerity.","Aber sie sollten statt tumber Sparmaßnahmen eine intelligente Konsolidierung verfolgen."
"So they should maintain investment in skills and infrastructure, while cutting subsidies and transfer payments.","So sollten sie ihre Investitionen in Fertigkeiten und Infrastruktur aufrecht erhalten, Subventionen und Transferleistungen dagegen abbauen."
"They should also legislate now for future reforms, notably to encourage people to work longer.","Sie sollten außerdem jetzt die gesetzlichen Grundlagen für künftige Reformen schaffen, insbesondere um die Menschen zu ermutigen, länger zu arbeiten."
"Last but not least, governments that can borrow at unprecedentedly low rates – 0% in real terms over 10 years in the case of Germany – must play their role in supporting demand.","Und schließlich sollten Länder, die zu beispiellos niedrigen Zinsen Geld aufnehmen können – zu 0% Realverzinsung über zehn Jahre im Falle Deutschlands – ihre Rolle bei der Stützung der Nachfrage spielen."
"Would it be really be so difficult to see VAT coming down ahead of the German election next year?","Ist für Deutschland eine Mehrwertsteuersenkung vor den Bundestagswahlen im kommenden Jahr wirklich so schwer vorstellbar?"
"At the onset of the US-led war in Iraq, two competing views shaped predictions about the outcome.","Zu Beginn des Irak-Kriegs unter US-Führung bildeten sich zwei konkurrierende Voraussagen über sein Ergebnis."
"The first contended that overthrowing Saddam Hussein's regime would usher in a democratic era in Iraq that would serve as a model and catalyst for democratic change regionally.","Die erste behauptete, der Sturz des Saddam Hussein Regimes dürfte im Irak eine Ära der Demokratie einleiten, die als Modell und Katalysator für die demokratische Umgestaltung der Region dienen würde."
"Derided by detractors as a new "domino theory," this view presented intervention in Iraq as similar to America's role in post-WWII Japan.","Von den Kritikern als neue "Domino-Theorie" verspottet stellte diese Ansicht die Intervention in den Irak als etwas Ähnliches wie die Rolle dar, die Amerika nach dem Zweiten Weltkrieg in Japan eingenommen hat."
"Against the optimism of that "Japan scenario," pessimists argued that a "Somalia scenario" was more likely.","Gegen den Optimismus dieses "Japan-Szenarios" behaupteten die Pessimisten, dass ein "Somalia-Szenario" wahrscheinlicher wäre."
"They staked their claim on the tribal, sectarian, and multiethnic nature of Iraq, which, in the absence of dictatorship, would supposedly incite Iraq's collapse into a "failed state," with rampant warlordism, ethnic and religious feuds, and harboring of terrorist organizations.","Sie stützten ihre Behauptung auf die Stammes-, Konfessions- und multiethnische Natur des Irak, die ohne Diktatur vermutlich im Irak den Zusammenbruch in einen "misslungenen Staat" mit wucherndem Kriegsherrenunwesen, ethnische und religiöse Fehden und Unterschlupf für terroristische Organisationen auslösen würde."
"But the main question now is whether Iraq will drift along lines somewhere between these two scenarios, increasingly resembling Afghanistan.","Doch ist jetzt die Hauptfrage, ob der Irak irgendwo zwischen diesen beiden Szenarien entlang triften wird, um zunehmend Afghanistan ähnlicher zu werden."
"This "Afghan scenario" implies a weak state with nominal power over effectively autonomous fiefdoms that are headed by strongmen who are represented in the central government.","Dieses "afghanische Szenario" beinhaltet einen schwachen Staat mit nomineller Macht über tatsächlich autonome Stammestümer, die von starken Männern als ihren Repräsentanten in der Staatsregierung geführt werden."
"Bad as it sounds, this prospect appears to be a "realistic" compromise between the supposedly utopian vision of a flourishing, unified democracy and the wretchedness of a failed state.","So schlecht es klingen mag, doch scheint diese Perspektive ein "realistischer" Kompromiss zwischen der vermutlich utopischen Vision einer blühenden, vereinigten Demokratie und der Jämmerlichkeit eines misslungenen Staates zu sein."
"Many of the actions and policies of the Coalition Provisional Authority (CPA), as well as higher-level Bush administration decisions, seem to point to a resigned acceptance that early hopes that Iraq would embrace Western-style democracy were misplaced.","Viele Handlungen und Richtlinien der provisorischen Koalitionsbehörde (CPA) als auch Entscheidungen der Regierung Bush auf höherer Ebene scheinen auf eine resignierende Hinnahme hinzudeuten und darauf, dass die frühere Hoffnung, der Irak würde eine Demokratie westlichen Stils annehmen, verloren gegangen ist."
"Indeed, such hopes were misplaced.","Tatsächlich sind solche Hoffnungen verloren gegangen."
"Iraq's political culture - and that of most of the Middle East - is incompatible with the basic components of a recognizable Western-style democracy: notions of individual rights and responsibilities are lacking, the concept of a patriarchal state is deeply rooted, and individual cultural identity is rarely tied to the national community.","Iraks politische Kultur - und diejenige des größten Teils des Nahen Ostens - verträgt sich nicht mit den Grundbestandteilen einer Demokratie in einem wiedererkennbaren westlichen Stil: Die Vorstellungen von individuellen Rechten und individueller Verantwortlichkeit fehlen, der Begriff eines patriarchalischen Staates ist tief verwurzelt, und die individuelle, kulturelle Identität ist selten der nationalen Gemeinschaft verpflichtet."
"On the other hand, much circular logic figures in analyses that consider the "traditional" nature of Iraqi society an obstacle to liberal democracy.","Andererseits prägen viele Trugschlüsse die Analysen, welche die "traditionelle" Natur der irakischen Gesellschaft für die Behinderung einer liberalen Demokratie halten."
"For these analyses are hardly neutral, but unwittingly enter an ongoing confrontation.","Denn diese Analysen sind kaum neutral, sondern treten unbeabsichtigt in eine noch andauernde Auseinandersetzung ein."
"In Iraq, as elsewhere in the Arab and Muslim worlds, a cultural war is being waged between two paradigms: grand narratives that accept and promote a collectivistic understanding (nationalism, socialism, Islamism), versus an implicit paradigm of individualistic modernity that is locally rooted yet informed by the global experience.","In Irak wird wie anderswo in der arabischen und mohammedanischen Welt ein kultureller Krieg zwischen zwei Musterbildern geführt: Hier großartige Entwürfe, die ein kollektivistisches Verständnis dulden (Nationalismus, Sozialismus, Islamismus) und dort ein unterschwelliges Paradigma individualistischer Modernität, das örtlich verwurzelt aber von globalen Erfahrungen getragen wird."
"The frontlines of this war are notions of the individual, cultural identity, civil society, and the nation-state.","Die Frontlinie in diesem Krieg bilden Vorstellungen von der individuellen und kulturellen Identität, der bürgerlichen Gesellschaft und vom Nationalstaat."
"The religious Islamic component in Iraqi social life should not be underestimated.","Der religiös islamische Bestandteil im irakischen gesellschaftlichen Leben sollte nicht unterschätzt werden."
"But it also should not be equated with the political Islamism that strives to capitalize on it.","Aber es sollte auch nicht mit dem politischen Islamismus auf gleiche Stufe gestellt werden, der sich bemüht, daraus Kapital zu schlagen."
"Nationalist and leftist political discourses did leave an imprint on the Iraqi value system, but they are not its sole components.","Die nationalistischen und sozialistischen politischen Diskurse haben dem irakischen Wertsystem ihre Spuren aufgedrückt, doch sind sie nicht dessen einzige Bestandteile."
"Indeed, the nominal acceptance of grand narratives of "democracy" and "human rights" as common bases for political discourse represents a crucial shift in demarcating the cultural battle.","Tatsächlich stellt die nominelle Hinnahme des großartigen Entwurfs der "Demokratie" und der "Menschenrechte" als gemeinsame Grundlage für den politischen Diskurs eine wesentliche Verschiebung beim Abstecken der Front im Kulturkampf dar."
"This cultural debate is not limited to the Arab scene.","Die kulturelle Debatte beschränkt sich nicht auf die arabische Szene."
"There are also vigorous discussions in the West about the applicability of democratic institutions to the Arab context.","Es gibt auch im Westen lebhafte Diskussionen über die Anwendbarkeit demokratischer Institutionen im arabischen Kontext."
"Advocates of the notion of "Arab exceptionalism," which questions the ability of Arab societies to adapt democratic systems are in fact objectively allied with "grand narrative" ideologues - and also with the beneficiaries of the Arab world's patronage-based political order.","Verfechter der Vorstellung einer "Arabischen Sonderstellung", welche die Fähigkeit der arabischen Gesellschaften, sich demokratischen Systemen anzupassen, in Fragen stellen, sind tatsächlich objektiv mit den Ideologen der ,,großen Entwürfe" verbündet - und auch mit den Nutznießern der auf Protektionismus gestützten politischen Ordnung der arabischen Welt."
"The models used in the West, both in political circles and in academia, for the analysis and interpretation of Arab societies are seriously deficient.","Die im Westen sowohl von politischen wie akademischen Kreisen zur Analyse und Interpretation der arabischen Gesellschaften benutzten Muster sind ernsthaft unzulänglich."
